Date,Venue,Location,Time,event_type,orchestra_id
1922-01-07T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2919
1922-01-08T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2920
1922-01-08T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2921
1922-01-12T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2922
1922-01-13T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2923
1922-01-14T05:00:00Z,Hall of the Commercial High School,"Brooklyn, NY",8:15PM,,2924
1922-01-15T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2925
1922-01-16T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2926
1922-01-19T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2927
1922-01-20T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2928
1922-01-22T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2929
1922-01-22T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2930
1922-01-25T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2931
1922-01-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2932
1922-01-27T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2933
1922-01-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2934
1922-01-27T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2935
1922-01-28T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2936
1922-01-28T05:00:00Z,Hall of the Commercial High School,"Brooklyn, NY",8:15PM,,2937
1922-01-29T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2938
1922-01-29T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2939
1922-01-31T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2940
1922-02-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2941
1922-02-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2942
1922-02-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2943
1922-02-05T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2944
1922-02-05T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2945
1922-02-07T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2946
1922-02-09T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2947
1922-02-10T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2948
1922-02-12T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2949
1922-02-12T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2950
1922-02-13T05:00:00Z,Carnegie Hall,"Manhattan, NY",None,,2951
1922-02-14T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2952
1922-02-16T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2953
1922-02-17T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2954
1922-02-18T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2955
1922-02-18T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2956
1922-02-19T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2957
1922-02-19T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2958
1922-02-21T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2959
1922-02-23T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2960
1922-02-24T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2961
1922-02-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2962
1922-02-26T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2963
1922-02-27T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2964
1922-02-28T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2965
1922-03-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2966
1922-03-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2967
1922-03-05T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2968
1922-03-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2969
1922-03-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2970
1922-03-04T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2971
1922-03-05T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2972
1922-03-07T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2973
1922-03-08T05:00:00Z,Waldorf-Astoria Hotel,"Manhattan, NY",8:30PM,,2974
1922-03-09T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2975
1922-03-10T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2976
1922-03-09T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2977
1922-03-10T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2978
1922-03-12T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2979
1922-03-12T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2980
1922-03-14T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2981
1922-03-16T05:00:00Z,Symphony Hall,"Boston, MA",8:15PM,,2982
1922-03-17T05:00:00Z,Woolsey Hall,"New Haven, CT",8:15PM,,2983
1922-03-19T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",3:00PM,,2984
1922-03-21T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2985
1922-03-23T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2986
1922-03-24T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2987
1922-03-23T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2988
1922-03-24T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2989
1922-03-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2990
1922-03-26T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2991
1922-03-28T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2992
1922-03-29T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2993
1922-03-30T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2994
1922-03-31T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2995
1922-04-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2996
1922-04-02T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2997
1922-04-04T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,2998
1922-04-05T05:00:00Z,Carnegie Hall,"Manhattan, NY",None,,2999
1922-04-08T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,3000
1922-04-09T05:00:00Z,157 E. 74th Street,"Manhattan, NY",8:30PM,,3001
1922-04-09T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",3:00PM,,3002
1922-04-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,3003
1922-04-30T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:30PM,,3004
1922-07-06T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3005
1922-07-07T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3006
1922-07-08T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3007
1922-07-09T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3008
1922-07-10T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3009
1922-07-11T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3010
1922-07-12T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3011
1922-07-13T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3012
1922-07-14T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3013
1922-07-15T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3014
1922-07-16T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3015
1922-07-17T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3016
1922-07-18T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3017
1922-07-19T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3018
1922-07-20T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3019
1922-07-21T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3020
1922-07-22T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3021
1922-07-23T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3022
1922-07-24T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3023
1922-07-25T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3024
1922-07-26T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3025
1922-07-27T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3026
1922-07-28T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3027
1922-07-29T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3028
1922-07-30T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3029
1922-07-31T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3030
1922-08-01T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3031
1922-08-02T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3032
1922-08-03T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3033
1922-08-04T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3034
1922-08-05T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3035
1922-08-06T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3036
1922-08-07T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3037
1922-08-08T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3038
1922-08-09T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3039
1922-08-10T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3040
1922-08-11T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3041
1922-08-12T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3042
1922-08-13T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3043
1922-08-14T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3044
1922-08-15T04:00:00Z,Lewisohn Stadium,"Manhattan, NY",8:30PM,,3045
